"Region or State","Alta Floresta D'Oeste RO",25.652
"Region or State","Alto Alegre dos Parecis RO",13.884
"Region or State","Alto Paraíso RO",19.841
"Region or State","Alvorada D'Oeste RO",17.228
"Region or State","Ariquemes RO",102.860
"Region or State","Buritis RO",37.207
"Region or State","Cabixi RO",6.424
"Region or State","Cacaulândia RO",6.318
"Region or State","Cacoal RO",86.556
"Region or State","Campo Novo de Rondônia RO",14.081
"Region or State","Candeias do Jamari RO",23.573
"Region or State","Castanheiras RO",3.653
"Region or State","Cerejeiras RO",18.013
"Region or State","Chupinguaia RO",9.887
"Region or State","Colorado do Oeste RO",19.001
"Region or State","Corumbiara RO",8.938
"Region or State","Costa Marques RO",16.258
"Region or State","Cujubim RO",20.204
"Region or State","Espigão D'Oeste RO",32.047
"Region or State","Governador Jorge Teixeira RO",10.327
"Region or State","Guajará-Mirim RO",46.203
"Region or State","Itapuã do Oeste RO",9.831
"Region or State","Jaru RO",55.669
"Region or State","Ji-Paraná RO",129.242
"Region or State","Machadinho D'Oeste RO",36.412
"Region or State","Ministro Andreazza RO",10.860
"Region or State","Mirante da Serra RO",12.414
"Region or State","Monte Negro RO",15.710
"Region or State","Nova Brasilândia D'Oeste RO",21.511
"Region or State","Nova Mamoré RO",26.925
"Region or State","Nova União RO",7.853
"Region or State","Novo Horizonte do Oeste RO",10.393
"Region or State","Ouro Preto do Oeste RO",40.010
"Region or State","Parecis RO",5.589
"Region or State","Pimenta Bueno RO",37.230
"Region or State","Pimenteiras do Oeste RO",2.432
"Region or State","Porto Velho RO",494.013
"Region or State","Presidente Médici RO",22.783
"Region or State","Primavera de Rondônia RO",3.548
"Region or State","Rio Crespo RO",3.709
"Region or State","Rolim de Moura RO",55.807
"Region or State","Santa Luzia D'Oeste RO",8.706
"Region or State","São Felipe D'Oeste RO",6.160
"Region or State","São Francisco do Guaporé RO",18.640
"Region or State","São Miguel do Guaporé RO",23.803
"Region or State","Seringueiras RO",12.543
"Region or State","Teixeirópolis RO",5.041
"Region or State","Theobroma RO",11.345
"Region or State","Urupá RO",13.391
"Region or State","Vale do Anari RO",10.682
"Region or State","Vale do Paraíso RO",8.327
"Region or State","Vilhena RO",89.797
"Region or State","Acrelândia AC",13.613
"Region or State","Assis Brasil AC",6.610
"Region or State","Brasiléia AC",23.378
"Region or State","Bujari AC",9.173
"Region or State","Capixaba AC",10.170
"Region or State","Cruzeiro do Sul AC",80.953
"Region or State","Epitaciolândia AC",16.417
"Region or State","Feijó AC",32.398
"Region or State","Jordão AC",7.330
"Region or State","Mâncio Lima AC",16.795
"Region or State","Manoel Urbano AC",8.514
"Region or State","Marechal Thaumaturgo AC",16.380
"Region or State","Plácido de Castro AC",17.979
"Region or State","Porto Acre AC",16.396
"Region or State","Porto Walter AC",10.453
"Region or State","Rio Branco AC",363.928
"Region or State","Rodrigues Alves AC",16.475
"Region or State","Santa Rosa do Purus AC",5.593
"Region or State","Sena Madureira AC",41.036
"Region or State","Senador Guiomard AC",20.992
"Region or State","Tarauacá AC",38.201
"Region or State","Xapuri AC",17.317
"Region or State","Alvarães AM",15.357
"Region or State","Amaturá AM",10.644
"Region or State","Anamã AM",11.981
"Region or State","Anori AM",18.826
"Region or State","Apuí AM",20.258
"Region or State","Atalaia do Norte AM",17.658
"Region or State","Autazes AM",36.301
"Region or State","Barcelos AM",27.273
"Region or State","Barreirinha AM",30.202
"Region or State","Benjamin Constant AM",38.533
"Region or State","Beruri AM",17.755
"Region or State","Boa Vista do Ramos AM",17.248
"Region or State","Boca do Acre AM",33.148
"Region or State","Borba AM",38.688
"Region or State","Caapiranga AM",12.214
"Region or State","Canutama AM",14.944
"Region or State","Carauari AM",27.645
"Region or State","Careiro AM",35.938
"Region or State","Careiro da Várzea AM",27.357
"Region or State","Coari AM",82.209
"Region or State","Codajás AM",26.242
"Region or State","Eirunepé AM",33.580
"Region or State","Envira AM",18.422
"Region or State","Fonte Boa AM",21.295
"Region or State","Guajará AM",15.561
"Region or State","Humaitá AM",50.230
"Region or State","Ipixuna AM",26.118
"Region or State","Iranduba AM",45.250
"Region or State","Itacoatiara AM",95.714
"Region or State","Itamarati AM",8.205
"Region or State","Itapiranga AM",8.864
"Region or State","Japurá AM",5.599
"Region or State","Juruá AM",12.807
"Region or State","Jutaí AM",16.977
"Region or State","Lábrea AM",42.439
"Region or State","Manacapuru AM",92.996
"Region or State","Manaquiri AM",27.480
"Region or State","Manaus AM",2.020.301
"Region or State","Manicoré AM",52.200
"Region or State","Maraã AM",18.367
"Region or State","Maués AM",58.834
"Region or State","Nhamundá AM",20.078
"Region or State","Nova Olinda do Norte AM",34.498
"Region or State","Novo Airão AM",17.199
"Region or State","Novo Aripuanã AM",23.905
"Region or State","Parintins AM",110.411
"Region or State","Pauini AM",19.265
"Region or State","Presidente Figueiredo AM",31.903
"Region or State","Rio Preto da Eva AM",29.771
"Region or State","Santa Isabel do Rio Negro AM",21.702
"Region or State","Santo Antônio do Içá AM",24.005
"Region or State","São Gabriel da Cachoeira AM",42.342
"Region or State","São Paulo de Olivença AM",35.757
"Region or State","São Sebastião do Uatumã AM",12.451
"Region or State","Silves AM",9.014
"Region or State","Tabatinga AM",59.684
"Region or State","Tapauá AM",18.266
"Region or State","Tefé AM",62.662
"Region or State","Tonantins AM",18.322
"Region or State","Uarini AM",12.963
"Region or State","Urucará AM",17.264
"Region or State","Urucurituba AM",20.621
"Region or State","Alto Alegre RR",16.301
"Region or State","Amajari RR",10.721
"Region or State","Boa Vista RR",314.900
"Region or State","Bonfim RR",11.632
"Region or State","Cantá RR",15.774
"Region or State","Caracaraí RR",19.981
"Region or State","Caroebe RR",8.997
"Region or State","Iracema RR",10.043
"Region or State","Mucajaí RR",16.137
"Region or State","Normandia RR",9.953
"Region or State","Pacaraima RR",11.667
"Region or State","Rorainópolis RR",26.811
"Region or State","São João da Baliza RR",7.401
"Region or State","São Luiz RR",7.309
"Region or State","Uiramutã RR",9.309
"Region or State","Abaetetuba PA",148.873
"Region or State","Abel Figueiredo PA",7.070
"Region or State","Acará PA",54.047
"Region or State","Afuá PA",37.004
"Region or State","Água Azul do Norte PA",26.105
"Region or State","Alenquer PA",54.353
"Region or State","Almeirim PA",33.466
"Region or State","Altamira PA",106.768
"Region or State","Anajás PA",27.051
"Region or State","Ananindeua PA",499.776
"Region or State","Anapu PA",24.525
"Region or State","Augusto Corrêa PA",43.154
"Region or State","Aurora do Pará PA",28.974
"Region or State","Aveiro PA",15.956
"Region or State","Bagre PA",27.491
"Region or State","Baião PA",42.513
"Region or State","Bannach PA",3.303
"Region or State","Barcarena PA",112.921
"Region or State","Belém PA",1.432.844
"Region or State","Belterra PA",16.924
"Region or State","Benevides PA",57.393
"Region or State","Bom Jesus do Tocantins PA",16.074
"Region or State","Bonito PA",14.990
"Region or State","Bragança PA",120.124
"Region or State","Brasil Novo PA",15.139
"Region or State","Brejo Grande do Araguaia PA",7.258
"Region or State","Breu Branco PA",59.651
"Region or State","Breves PA",97.351
"Region or State","Bujaru PA",27.349
"Region or State","Cachoeira do Arari PA",22.100
"Region or State","Cachoeira do Piriá PA",30.430
"Region or State","Cametá PA",129.161
"Region or State","Canaã dos Carajás PA",32.366
"Region or State","Capanema PA",65.932
"Region or State","Capitão Poço PA",52.616
"Region or State","Castanhal PA",186.895
"Region or State","Chaves PA",22.302
"Region or State","Colares PA",11.641
"Region or State","Conceição do Araguaia PA",46.302
"Region or State","Concórdia do Pará PA",30.801
"Region or State","Cumaru do Norte PA",12.069
"Region or State","Curionópolis PA",17.844
"Region or State","Curralinho PA",31.591
"Region or State","Curuá PA",13.333
"Region or State","Curuçá PA",37.188
"Region or State","Dom Eliseu PA",55.513
"Region or State","Eldorado dos Carajás PA",32.544
"Region or State","Faro PA",7.504
"Region or State","Floresta do Araguaia PA",19.005
"Region or State","Garrafão do Norte PA",25.307
"Region or State","Goianésia do Pará PA",37.249
"Region or State","Gurupá PA",31.182
"Region or State","Igarapé-Açu PA",37.112
"Region or State","Igarapé-Miri PA",59.998
"Region or State","Inhangapi PA",10.876
"Region or State","Ipixuna do Pará PA",56.613
"Region or State","Irituia PA",31.644
"Region or State","Itaituba PA",98.405
"Region or State","Itupiranga PA",51.743
"Region or State","Jacareacanga PA",41.487*
"Region or State","Jacundá PA",55.204
"Region or State","Juruti PA",52.755
"Region or State","Limoeiro do Ajuru PA",26.961
"Region or State","Mãe do Rio PA",28.800
"Region or State","Magalhães Barata PA",8.260
"Region or State","Marabá PA",257.062
"Region or State","Maracanã PA",28.643
"Region or State","Marapanim PA",27.262
"Region or State","Marituba PA",120.305
"Region or State","Medicilândia PA",29.444
"Region or State","Melgaço PA",26.133
"Region or State","Mocajuba PA",28.933
"Region or State","Moju PA",76.096
"Region or State","Mojuí dos Campos PA",15.341
"Region or State","Monte Alegre PA",56.231
"Region or State","Muaná PA",37.314
"Region or State","Nova Esperança do Piriá PA",20.596
"Region or State","Nova Ipixuna PA",15.632
"Region or State","Nova Timboteua PA",14.472
"Region or State","Novo Progresso PA",25.169
"Region or State","Novo Repartimento PA",69.267
"Region or State","Óbidos PA",50.317
"Region or State","Oeiras do Pará PA",30.490
"Region or State","Oriximiná PA",67.939
"Region or State","Ourém PA",16.986
"Region or State","Ourilândia do Norte PA",30.171
"Region or State","Pacajá PA",43.930
"Region or State","Palestina do Pará PA",7.444
"Region or State","Paragominas PA",105.417
"Region or State","Parauapebas PA",183.352
"Region or State","Pau D'Arco PA",5.637
"Region or State","Peixe-Boi PA",7.881
"Region or State","Piçarra PA",12.697
"Region or State","Placas PA",27.700
"Region or State","Ponta de Pedras PA",28.601
"Region or State","Portel PA",57.205
"Region or State","Porto de Moz PA",37.669
"Region or State","Prainha PA",29.270
"Region or State","Primavera PA",10.458
"Region or State","Quatipuru PA",12.943
"Region or State","Redenção PA",79.917
"Region or State","Rio Maria PA",17.755
"Region or State","Rondon do Pará PA",49.476
"Region or State","Rurópolis PA",45.595
"Region or State","Salinópolis PA",38.819
"Region or State","Salvaterra PA",21.987
"Region or State","Santa Bárbara do Pará PA",19.197
"Region or State","Santa Cruz do Arari PA",9.191
"Region or State","Santa Izabel do Pará PA",65.251
"Region or State","Santa Luzia do Pará PA",19.418
"Region or State","Santa Maria das Barreiras PA",19.437
"Region or State","Santa Maria do Pará PA",23.790
"Region or State","Santana do Araguaia PA",65.062
"Region or State","Santarém PA",290.521
"Region or State","Santarém Novo PA",6.390
"Region or State","Santo Antônio do Tauá PA",29.110
"Region or State","São Caetano de Odivelas PA",17.344
"Region or State","São Domingos do Araguaia PA",24.235
"Region or State","São Domingos do Capim PA",30.701
"Region or State","São Félix do Xingu PA",111.633
"Region or State","São Francisco do Pará PA",15.341
"Region or State","São Geraldo do Araguaia PA",24.828
"Region or State","São João da Ponta PA",5.703
"Region or State","São João de Pirabas PA",21.767
"Region or State","São João do Araguaia PA",13.470
"Region or State","São Miguel do Guamá PA",55.191
"Region or State","São Sebastião da Boa Vista PA",24.768
"Region or State","Sapucaia PA",5.492
"Region or State","Senador José Porfírio PA",12.075
"Region or State","Soure PA",24.076
"Region or State","Tailândia PA",93.906
"Region or State","Terra Alta PA",10.973
"Region or State","Terra Santa PA",17.783
"Region or State","Tomé-Açu PA",59.795
"Region or State","Tracuateua PA",29.125
"Region or State","Trairão PA",17.880
"Region or State","Tucumã PA",36.674
"Region or State","Tucuruí PA",105.431
"Region or State","Ulianópolis PA",51.956
"Region or State","Uruará PA",44.607
"Region or State","Vigia PA",50.622
"Region or State","Viseu PA",58.694
"Region or State","Vitória do Xingu PA",14.242
"Region or State","Xinguara PA",42.465
"Region or State","Amapá AP",8.553
"Region or State","Calçoene AP",9.979
"Region or State","Cutias AP",5.291
"Region or State","Ferreira Gomes AP",6.714
"Region or State","Itaubal AP",4.836
"Region or State","Laranjal do Jari AP",44.777
"Region or State","Macapá AP",446.757
"Region or State","Mazagão AP",19.157
